5	264	69	22	27	27	27	39	41	49	49	39	55	40	49	32	31	19	16	9	9	9	32	136	0	0	0	0	0	
66	209	92	53	23	24	21	33	37	43	63	48	50	34	46	29	25	41	25	24	150	0	0	0	0	0	0	0	0	
0	69	48	98	31	42	43	47	46	45	62	54	53	32	16	104	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	70	45	28	31	31	41	79	50	25	35	52	49	48	37	40	40	21	17	10	19	175	0	0	0	0	0	0	0	
3	111	85	55	60	64	72	70	53	62	52	45	30	23	30	20	12	20	17	11	6	7	14	120	0	0	0	0	0	
0	214	105	82	72	92	59	67	55	55	47	55	39	24	35	27	27	31	34	46	159	0	0	0	0	0	0	0	0	
0	46	39	39	48	35	48	42	63	38	40	53	32	34	28	39	33	23	36	29	28	149	0	0	0	0	0	0	0	
0	147	101	167	28	47	19	35	41	35	33	34	37	35	41	55	35	38	24	20	43	150	0	0	0	0	0	0	0	
0	193	60	42	23	20	13	19	24	34	39	37	34	37	44	35	34	41	33	60	32	24	37	49	148	0	0	0	0	
1	80	30	26	8	26	25	32	37	43	85	49	38	35	32	40	37	22	23	118	0	0	0	0	0	0	0	0	0	
0	66	36	18	26	31	32	32	37	53	24	44	33	37	35	39	29	52	35	36	34	25	15	17	18	19	80	145	0	
0	126	78	66	21	18	20	30	40	44	55	52	44	49	37	50	38	33	45	86	121	0	0	0	0	0	0	0	0	
0	136	74	42	22	35	20	25	23	27	28	30	42	34	32	25	19	34	35	61	32	21	102	0	0	0	0	0	0	
0	130	105	73	96	66	57	55	59	75	71	62	57	46	26	33	18	14	40	104	222	0	0	0	0	0	0	0	0	
3	236	97	52	47	45	37	48	59	54	56	65	47	48	38	29	23	21	14	20	21	215	0	0	0	0	0	0	0	
0	151	92	66	39	46	64	53	42	51	44	58	52	43	46	35	17	46	226	0	0	0	0	0	0	0	0	0	0	
5	141	85	40	27	37	41	45	46	52	24	29	33	30	35	34	28	50	33	16	101	0	0	0	0	0	0	0	0	
1	90	76	51	74	47	46	34	36	47	36	57	44	52	42	40	42	39	38	37	48	50	72	94	192	0	0	0	0	
13	175	134	101	62	54	64	52	51	61	49	47	52	37	20	38	35	21	21	18	13	17	58	217	0	0	0	0	0	
17	186	140	83	74	65	62	79	70	47	52	35	37	15	22	12	21	12	15	124	0	0	0	0	0	0	0	0	0	
15	193	139	112	100	85	79	82	55	43	37	34	22	18	23	18	6	16	13	4	10	6	108	0	0	0	0	0	0	
0	216	132	106	65	75	59	66	54	59	51	37	40	31	19	23	20	10	16	8	10	10	8	112	65	0	0	0	0	
0	155	55	52	50	33	36	35	31	28	42	44	53	48	38	53	42	49	26	35	29	19	26	46	162	0	0	0	0	
0	126	104	60	63	55	53	40	42	35	41	40	44	37	49	46	39	20	23	43	152	0	0	0	0	0	0	0	0	
0	88	55	44	40	45	59	40	60	62	42	58	42	35	34	29	30	28	22	26	29	125	0	0	0	0	0	0	0	
1	157	41	33	42	45	54	62	64	54	51	55	40	44	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	363	66	56	67	78	87	69	89	87	99	139	101	155	125	53	57	46	68	42	46	95	92	83	302	0	0	0	0	
24	127	122	77	84	73	67	58	58	49	52	53	43	32	19	16	16	17	25	159	0	0	0	0	0	0	0	0	0	
2	90	87	91	87	75	80	67	58	51	46	60	32	42	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	181	117	69	68	67	51	45	55	53	58	55	38	40	26	37	32	13	13	14	13	10	11	16	111	0	0	0	0	
12	266	98	47	51	43	39	54	58	52	45	63	52	66	68	65	63	58	49	36	43	42	35	61	194	84	159	305	0	
1	119	81	59	61	47	53	53	69	64	55	48	58	51	43	33	27	36	26	25	27	52	75	160	0	0	0	0	0	
1	122	98	59	42	34	22	38	31	24	27	29	36	27	29	32	28	32	33	33	104	0	0	0	0	0	0	0	0	
0	116	63	59	68	44	55	69	93	104	97	56	61	49	106	127	257	93	0	0	0	0	0	0	0	0	0	0	0	
0	116	60	45	31	25	21	25	22	19	33	40	45	40	41	35	31	39	29	30	17	32	128	0	0	0	0	0	0	
0	98	89	70	54	34	28	20	22	38	31	51	43	66	56	39	34	25	25	22	22	12	27	17	26	214	0	0	0	
0	158	55	35	37	38	26	23	21	16	14	19	29	32	37	35	47	30	24	20	25	19	17	18	22	26	40	153	0	
0	52	39	22	17	18	25	39	41	42	39	30	33	48	40	49	39	32	28	35	121	0	0	0	0	0	0	0	0	
13	176	135	86	48	22	18	31	23	34	27	31	41	38	36	27	33	28	23	32	27	26	41	159	0	0	0	0	0	
0	63	75	80	74	90	86	65	51	35	26	25	22	33	135	128	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	169	93	39	28	19	22	25	24	25	32	40	32	45	27	22	31	30	39	40	26	33	20	65	120	0	0	0	0	
